method,energy_mean_J,time_mean,carbon_mean,green_score
ctypes_μJ,0.19050509142204028,0.22230453344978943,0.1927058014769785,0.19774526384956542
pypy_μJ,0.39567390882767994,0.365992579157724,0.3956485356154386,0.3897274936087922
cython_μJ,0.4661639389542927,0.47014869431323897,0.47621851481569843,0.4709827203706443
cpython_μJ,0.8572620850456023,0.7346045121080415,0.8553445149119286,0.8319635424046208
pycompile_μJ,0.8298028496980067,0.9152582918334713,0.8352808895388438,0.8490851540614345
