method,energy_std_μJ,time_std_s,carbon_std_gCO2eq
cpython,115237355.22256395,22.87197954436254,0.054737822956343454
ctypes,27777677.194398053,4.329602056541612,0.013194365843040732
cython,35464767.84413979,6.000969090066042,0.016845594375300116
pycompile,111425973.84310961,22.268866584704682,0.05292732070688562
pypy,38557717.23434568,7.04874490684759,0.01831501035528743
