filename,execution_time (s)
spectral_norm_cpython,1.817727165222168
K_Nucleotide_pypy,0.011715450286865235
fannkuch_redux_pypy,3.2457240629196167
n_queens_pypy,7.095976853370667
fasta_pypy,0.08064700126647949
hanoi_pypy,5.6504107141494755
regex_redux_pypy,0.0004436063766479492
sieve_pypy,8.676106224060058
binary_trees_pypy,10.765991711616516
mandelbrot_pypy,0.01727559566497803
knn_pypy,0.16258982181549073
pi_digits_pypy,0.010709147453308105
reverse_complement_pypy,2.6550643062591552
nbody_pypy,26.695452523231506
strassen_pypy,1.8301635026931762
