method,energy_mean,time_mean,carbon_mean,green_score
ctypes,0.19050509142204028,0.1825087907308858,0.1927058014769785,0.1897861153057847
pypy,0.39567390882767994,0.3495599790728052,0.3956485356154386,0.38644097359180846
cython,0.4661639389542927,0.41976401701366156,0.47621851481569843,0.4609057849107288
cpython,0.8608955636658978,0.8007509310025313,0.8553445149119286,0.8466462176316368
pycompile,0.8298028496980067,0.9152582918334713,0.8352808895388438,0.8490851540614345
