filename,execution_time (s)
K_Nucleotide_ctypes,0.011014580726623535
regex_redux_ctypes,0.011338043212890624
pi_digits_ctypes,0.010277743339538575
fannkuch_redux_ctypes,0.5094278907775879
knn_ctypes,0.4319046068191528
nbody_ctypes,9.050139932632446
sieve_ctypes,12.08083885192871
strassen_ctypes,0.20409759998321533
spectral_norm_ctypes,0.05751395225524902
binary_trees_ctypes,7.890259480476379
mandelbrot_ctypes,0.01716813087463379
reverse_complement_ctypes,0.27482147693634035
fasta_ctypes,0.010809249877929687
hanoi_ctypes,3.9129542684555054
n_queens_ctypes,8.997850937843323
